Diameter: 21
Node 334: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 335: Maximum Distance - 12, Nodes at Max Distance: 1453 1480 1638
Node 336: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 337: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 338: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 339: Maximum Distance - 17, Nodes at Max Distance: 1453 1480 1638
Node 340: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 341: Maximum Distance - 17, Nodes at Max Distance: 599 1118 1226 1873
Node 342: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 343: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 344: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638
Node 345: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 346: Maximum Distance - 18, Nodes at Max Distance: 1453 1480 1638
Node 347: Maximum Distance - 12, Nodes at Max Distance: 1453 1480 1638
Node 348: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 349: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 350: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 351: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 352: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 353: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 354: Maximum Distance - 17, Nodes at Max Distance: 599 1118 1226 1873
Node 355: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 356: Maximum Distance - 1, Nodes at Max Distance: 473 1196 1870
